"","country","td_ICCPR","td_ICESCR","td_ICERD","td_CEDAW","td_CRC","td_CAT","td_CRPD","td_CPED","td_ICRMW","bin_ICCPR","bin_ICESCR","bin_ICERD","bin_CEDAW","bin_CRC","bin_CAT","bin_CRPD","bin_CPED","bin_ICRMW","hdi_m","gdp_m","span_y","Main.religion"
"21","Burundi",8555.04166666667,8555.04166666667,4328.04166666667,4330.04166666667,333.041666666667,2992.04166666667,8556.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.337733333333333,955.153846153846,11,"Christianity"
"22","Cambodia",9303.04166666667,9303.04166666667,6551.04166666667,4611.04166666667,1060.04166666667,2866.04166666667,8038.04166666667,2281.08333333333,NA,1,1,1,1,1,1,1,1,0,0.469107142857143,1861.26923076923,0,"Buddhism"
"23","Cameroon",6413.04166666667,6413.04166666667,2011.04166666667,5288.04166666667,1148.04166666667,739.041666666667,NA,NA,NA,1,1,1,1,1,1,0,0,0,0.468833333333333,2345.61538461538,0,"Christianity"
"24","Canada",3452.04166666667,3452.04166666667,1758.04166666667,649.041666666667,753.041666666667,926.041666666667,7023.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.882344827586207,37456.9615384615,149,"Christianity"
"25","Central African Republic",5267.04166666667,5267.04166666667,1911.04166666667,4129.04166666667,885.041666666667,11628.0416666667,9429.04166666667,3483.08333333333,NA,1,1,1,1,1,1,1,1,0,0.324433333333333,865.846153846154,0,"Christianity"
"26","Chad",10412.0416666667,10412.0416666667,4257.04166666667,5578.04166666667,316.041666666667,3833.04166666667,10411.0416666667,NA,NA,1,1,1,1,1,1,1,0,0,0.356833333333333,1431,0,"Islam"
"27","Chile",1892.04166666667,1892.04166666667,2129.04166666667,3568.04166666667,266.041666666667,1390.04166666667,6433.04166666667,984.083333333333,-686.958333333333,1,1,1,1,1,1,1,1,1,0.767066666666667,14138.8846153846,26,"Christianity"
"28","China",NA,12530.0416666667,5852.04166666667,248.041666666667,833.041666666667,1394.04166666667,6436.04166666667,NA,NA,0,1,1,1,1,1,1,0,0,0.620633333333333,6438.80769230769,0,"Unaffiliated Religions"
"29","Colombia",1058.04166666667,1058.04166666667,5734.04166666667,689.041666666667,434.041666666667,1093.04166666667,7448.04166666667,1930.08333333333,-4275.95833333333,1,1,1,1,1,1,1,1,1,0.667633333333333,8816.65384615385,58,"Christianity"
"30","Comoros",NA,NA,14160.0416666667,5357.04166666667,1310.04166666667,11854.0416666667,9312.04166666667,NA,NA,0,0,1,1,1,1,1,0,0,0.481857142857143,1595.61538461538,10,"Islam"
"31","Congo",6147.04166666667,6147.04166666667,8238.04166666667,877.041666666667,1424.04166666667,6806.04166666667,8659.04166666667,NA,3706.04166666667,1,1,1,1,1,1,1,0,1,0.534933333333333,3238.46153846154,0,"Christianity"
"32","Costa Rica",724.041666666667,724.041666666667,391.041666666667,2225.04166666667,274.041666666667,3258.04166666667,6497.04166666667,1784.08333333333,NA,1,1,1,1,1,1,1,1,0,0.7192,10474.5769230769,67,"Christianity"
"33","Croatia",9442.04166666667,9442.04166666667,9792.04166666667,4575.04166666667,1057.04166666667,2863.04166666667,6084.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.761214285714286,16006.7307692308,16,"Christianity"
"34","Cuba",NA,NA,2247.04166666667,138.041666666667,639.041666666667,3810.04166666667,6106.04166666667,675.083333333333,NA,0,0,1,1,1,1,1,1,0,0.714566666666667,5527.4,0,"Christianity"
"35","Cyprus",848.041666666667,848.041666666667,486.041666666667,1970.04166666667,444.041666666667,2411.04166666667,7496.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.8087,24503.4230769231,39,"Christianity"
"36","Denmark",1857.04166666667,1857.04166666667,2179.04166666667,1146.04166666667,606.041666666667,898.041666666667,6793.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.8715,36579.5769230769,115,"Christianity"
"37","Djibouti",13118.0416666667,13118.0416666667,16719.0416666667,6850.04166666667,381.041666666667,6539.04166666667,7853.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.413826086956522,2651.53846153846,0,"Islam"
"38","Dominica",9690.04166666667,9690.04166666667,19501.0416666667,198.041666666667,478.041666666667,NA,7958.04166666667,4427.08333333333,NA,1,1,1,1,1,0,1,1,0,0.712611111111111,8236.07692307692,38,"Christianity"
"39","Dominican Republic",4047.04166666667,4047.04166666667,6364.04166666667,915.041666666667,568.041666666667,9906.04166666667,6818.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.66648275862069,8929,50,"Christianity"
"40","Ecuador",821.041666666667,821.041666666667,275.041666666667,618.041666666667,123.041666666667,1206.04166666667,6316.04166666667,935.083333333333,-1826.95833333333,1,1,1,1,1,1,1,1,1,0.6868,7182.84615384615,13,"Christianity"
"41","Egypt",5518.04166666667,5518.04166666667,496.041666666667,566.041666666667,228.041666666667,562.041666666667,6327.04166666667,NA,-5099.95833333333,1,1,1,1,1,1,1,0,1,0.616166666666667,7054.03846153846,0,"Islam"
"42","El Salvador",4742.04166666667,4742.04166666667,5092.04166666667,536.041666666667,232.041666666667,4207.04166666667,6205.04166666667,NA,-1424.95833333333,1,1,1,1,1,1,1,0,1,0.620310344827586,5924.61538461538,32,"Christianity"
"43","Equatorial Guinea",7598.04166666667,7598.04166666667,13440.0416666667,1697.04166666667,938.041666666667,6511.04166666667,NA,NA,NA,1,1,1,1,1,1,0,0,0,0.569888888888889,24846.8076923077,0,"Christianity"
"44","Estonia",9085.04166666667,9085.04166666667,9435.04166666667,4251.04166666667,700.041666666667,2506.04166666667,7834.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.800321428571429,15982.2692307692,25,"Unaffiliated Religions"
"45","Ethiopia",9684.04166666667,9684.04166666667,3837.04166666667,558.041666666667,540.041666666667,3381.04166666667,7141.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.384555555555556,910.730769230769,0,"Christianity"
"46","Finland",3178.04166666667,3178.04166666667,1666.04166666667,2378.04166666667,577.041666666667,1724.04166666667,9276.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.859466666666667,32759.9615384615,99,"Christianity"
"47","France",5082.04166666667,5082.04166666667,2045.04166666667,1383.04166666667,260.041666666667,435.041666666667,7002.04166666667,543.083333333333,NA,1,1,1,1,1,1,1,1,0,0.846666666666667,32098.6923076923,70,"Christianity"
"48","Gabon",5890.04166666667,5890.04166666667,5183.04166666667,1056.04166666667,1542.04166666667,5751.04166666667,6131.04166666667,1391.08333333333,NA,1,1,1,1,1,1,1,1,0,0.646166666666667,12060.0769230769,0,"Christianity"
"49","Gambia",4489.04166666667,4406.04166666667,4756.04166666667,4794.04166666667,261.041666666667,12345.0416666667,8966.04166666667,4200.08333333333,4252.04166666667,1,1,1,1,1,1,1,1,1,0.402392857142857,1846.46153846154,0,"Islam"
"50","Georgia",10010.0416666667,10010.0416666667,12216.0416666667,5352.04166666667,1655.04166666667,3607.04166666667,8486.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.729055555555556,6042.38461538462,12,"Christianity"
"51","Germany",2568.04166666667,2568.04166666667,1242.04166666667,1957.04166666667,837.041666666667,2121.04166666667,6643.04166666667,909.083333333333,NA,1,1,1,1,1,1,1,1,0,0.882571428571429,36422.7692307692,26,"Christianity"
"52","Ghana",12329.0416666667,12329.0416666667,261.041666666667,2133.04166666667,77.0416666666667,5750.04166666667,7896.04166666667,NA,-2342.95833333333,1,1,1,1,1,1,1,0,1,0.507833333333333,2503.19230769231,19,"Christianity"
"53","Greece",11108.0416666667,6736.04166666667,1640.04166666667,1193.04166666667,1268.04166666667,1396.04166666667,7835.04166666667,3023.08333333333,NA,1,1,1,1,1,1,1,1,0,0.812733333333333,23542.6923076923,42,"Christianity"
"54","Guatemala",9282.04166666667,7835.04166666667,6237.04166666667,894.041666666667,198.041666666667,1852.04166666667,6685.04166666667,NA,-1424.95833333333,1,1,1,1,1,1,1,0,1,0.558,5369.76923076923,30,"Christianity"
"55","Guinea",4067.04166666667,4067.04166666667,4101.04166666667,891.041666666667,235.041666666667,1765.04166666667,6261.04166666667,NA,-2342.95833333333,1,1,1,1,1,1,1,0,1,0.35975,1182.69230769231,0,"Islam"
"56","Guinea-Bissau",16036.0416666667,9340.04166666667,16386.0416666667,2001.04166666667,273.041666666667,10515.0416666667,8681.04166666667,NA,4276.04166666667,1,1,1,1,1,1,1,0,1,0.429615384615385,1304.65384615385,0,"Islam"
"57","Haiti",8828.04166666667,17108.0416666667,2555.04166666667,506.041666666667,2026.04166666667,NA,6792.04166666667,NA,NA,1,1,1,1,1,0,1,0,0,0.446333333333333,1818.15384615385,0,"Christianity"
"58","Honduras",11220.0416666667,5187.04166666667,13442.0416666667,1097.04166666667,263.041666666667,4378.04166666667,6327.04166666667,368.083333333333,-545.958333333333,1,1,1,1,1,1,1,1,1,0.5607,3887.34615384615,6,"Christianity"
"59","Hungary",2599.04166666667,2599.04166666667,499.041666666667,296.041666666667,686.041666666667,856.041666666667,6058.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.781137931034483,16992.9615384615,26,"Christianity"
"60","Iceland",4642.04166666667,4642.04166666667,447.041666666667,1935.04166666667,1073.04166666667,4335.04166666667,9411.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.865733333333333,35285.1538461538,98,"Christianity"
"61","India",4508.04166666667,4508.04166666667,1078.04166666667,4878.04166666667,1117.04166666667,NA,6131.04166666667,NA,NA,1,1,1,1,1,0,1,0,0,0.517633333333333,3014.5,66,"Hinduism"
"62","Indonesia",14324.0416666667,14324.0416666667,12239.0416666667,1657.04166666667,289.041666666667,5070.04166666667,7652.04166666667,NA,1941.04166666667,1,1,1,1,1,1,1,0,1,0.6117,5525.92307692308,17,"Islam"
"63","Iraq",1511.04166666667,1511.04166666667,1485.04166666667,2356.04166666667,1668.04166666667,9705.04166666667,8128.04166666667,1334.08333333333,NA,1,1,1,1,1,1,1,1,0,0.611233333333333,6144,0,"Islam"
"64","Ireland",8403.04166666667,8403.04166666667,12792.0416666667,2123.04166666667,1043.04166666667,6331.04166666667,9954.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.855033333333333,41044.3461538462,94,"Christianity"
"65","Israel",9067.04166666667,9067.04166666667,4761.04166666667,4233.04166666667,682.041666666667,2488.04166666667,7955.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.8531,27810.9615384615,68,"Judaism"
"66","Italy",4301.04166666667,4301.04166666667,3667.04166666667,1927.04166666667,654.041666666667,1494.04166666667,6723.04166666667,3114.08333333333,NA,1,1,1,1,1,1,1,1,0,0.831933333333333,32178.4615384615,70,"Christianity"
"67","Jamaica",3223.04166666667,3223.04166666667,1991.04166666667,1693.04166666667,540.041666666667,NA,5946.04166666667,NA,597.041666666667,1,1,1,1,1,0,1,0,1,0.684033333333333,6097.46153846154,54,"Christianity"
"68","Japan",4580.04166666667,4580.04166666667,10951.0416666667,1942.04166666667,1614.04166666667,5314.04166666667,8434.04166666667,846.083333333333,NA,1,1,1,1,1,1,1,1,0,0.8603,33536.6538461538,64,"Unaffiliated Religions"
"69","Jordan",3095.04166666667,3095.04166666667,3082.04166666667,4505.04166666667,550.041666666667,2529.04166666667,6313.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.698566666666667,6755.61538461538,0,"Islam"
"70","Kazakhstan",14294.0416666667,14294.0416666667,11936.0416666667,6752.04166666667,1726.04166666667,5007.04166666667,8890.04166666667,700.083333333333,NA,1,1,1,1,1,1,1,1,0,0.729555555555556,12380.6923076923,0,"Islam"
"71","Kenya",1973.04166666667,1973.04166666667,13050.0416666667,1469.04166666667,252.041666666667,4456.04166666667,6362.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.497266666666667,2350.19230769231,14,"Christianity"
"72","Kuwait",10759.0416666667,10759.0416666667,1029.04166666667,5298.04166666667,700.041666666667,4106.04166666667,8283.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.7675,55789.1538461538,0,"Islam"
"73","Kyrgyzstan",10167.0416666667,10167.0416666667,11581.0416666667,6190.04166666667,1782.04166666667,4652.04166666667,10376.0416666667,NA,-1225.95833333333,1,1,1,1,1,1,1,0,1,0.616821428571429,3454.46153846154,0,"Islam"
"74","Latvia",9261.04166666667,9261.04166666667,9611.04166666667,4427.04166666667,876.041666666667,2682.04166666667,7013.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.764607142857143,14190.3076923077,23,"Christianity"
"75","Lebanon",2159.04166666667,2159.04166666667,2152.04166666667,6255.04166666667,540.041666666667,5778.04166666667,NA,NA,NA,1,1,1,1,1,1,0,0,0,0.749615384615385,12403.1538461538,0,"Islam"
"76","Lesotho",9409.04166666667,9409.04166666667,2144.04166666667,5652.04166666667,841.041666666667,6181.04166666667,6559.04166666667,2443.08333333333,-507.958333333333,1,1,1,1,1,1,1,1,1,0.484333333333333,2284.34615384615,14,"Christianity"
"77","Liberia",13805.0416666667,13805.0416666667,3972.04166666667,1599.04166666667,1292.04166666667,7226.04166666667,7891.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.397736842105263,569.730769230769,10,"Christianity"
"78","Libya",1256.04166666667,1256.04166666667,925.041666666667,3363.04166666667,1242.04166666667,1618.04166666667,9919.04166666667,NA,-962.958333333333,1,1,1,1,1,1,1,0,1,0.715066666666667,22438,0,"Islam"
"79","Lithuania",9115.04166666667,9115.04166666667,12042.0416666667,5071.04166666667,802.041666666667,4070.04166666667,7183.04166666667,2329.08333333333,NA,1,1,1,1,1,1,1,1,0,0.782892857142857,14917.4230769231,24,"Christianity"
"80","Luxembourg",6099.04166666667,6099.04166666667,4514.04166666667,3260.04166666667,1568.04166666667,1023.04166666667,7587.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.8492,54315.1923076923,126,"Christianity"
"81","Madagascar",1658.04166666667,1751.04166666667,1144.04166666667,3303.04166666667,484.041666666667,7673.04166666667,8942.04166666667,NA,3018.04166666667,1,1,1,1,1,1,1,0,1,0.492,1077.65384615385,0,"Christianity"
"82","Malawi",9878.04166666667,9878.04166666667,11130.0416666667,2567.04166666667,408.041666666667,4201.04166666667,6827.04166666667,3759.08333333333,NA,1,1,1,1,1,1,1,1,0,0.398366666666667,978.846153846154,22,"Christianity"
"83","Malaysia",NA,NA,NA,5604.04166666667,1915.04166666667,NA,7153.04166666667,NA,NA,0,0,0,1,1,0,1,0,0,0.7224,14806.6153846154,0,"Islam"
"84","Mali",2779.04166666667,2779.04166666667,3129.04166666667,2019.04166666667,304.041666666667,5191.04166666667,6320.04166666667,824.083333333333,-1341.95833333333,1,1,1,1,1,1,1,1,1,0.329366666666667,1124.5,0,"Islam"
"85","Malta",8682.04166666667,8682.04166666667,1983.04166666667,4024.04166666667,314.041666666667,2103.04166666667,7967.04166666667,2919.08333333333,NA,1,1,1,1,1,1,1,1,0,0.7996,20783.5384615385,52,"Christianity"
"86","Mauritania",13861.0416666667,13861.0416666667,8393.04166666667,7740.04166666667,542.041666666667,7282.04166666667,7777.04166666667,2014.08333333333,-14.9583333333333,1,1,1,1,1,1,1,1,1,0.452793103448276,2415.5,0,"Islam"
"87","Mauritius",2563.04166666667,2563.04166666667,2352.04166666667,1591.04166666667,248.041666666667,2921.04166666667,6961.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.694433333333333,14761.2307692308,48,"Hinduism"
"88","Mexico",5221.04166666667,5221.04166666667,3348.04166666667,387.041666666667,305.041666666667,409.041666666667,6208.04166666667,354.083333333333,-2891.95833333333,1,1,1,1,1,1,1,1,1,0.709033333333333,12404.1538461538,16,"Christianity"
"89","Mongolia",2904.04166666667,2904.04166666667,1324.04166666667,506.041666666667,227.041666666667,6254.04166666667,6721.04166666667,2876.08333333333,NA,1,1,1,1,1,1,1,1,0,0.631733333333333,5376.30769230769,26,"Buddhism"
